candidate_id,query_date,city,stage,source,name,area,category,estimated_price_cny,must_try,url,research_status,visit_status,notes
food-02-dali-20260514-011,2026-05-14,大理,02-dali,高德地图 REST place/text,诚心井王记小吃,护国路217号(诚心井对面),饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-012,2026-05-14,大理,02-dali,高德地图 REST place/text,巍山耙肉饵丝(十年老店),平等路52号54号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-013,2026-05-14,大理,02-dali,高德地图 REST place/text,刘记正宗巍山火巴肉饵丝,大理古城玉洱路273号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-014,2026-05-14,大理,02-dali,高德地图 REST place/text,火巴肉饵丝(老字号),大理古城平等路22号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-015,2026-05-14,大理,02-dali,高德地图 REST place/text,大理赵家饵块饵丝,大理古城银苍路42号,饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-016,2026-05-14,大理,02-dali,高德地图 REST place/text,巍山耙肉饵丝(大理市红十字医院北),一塔路42号大理古城(西北角),饵丝/小吃,10-30,饵丝,,pending,候选,本地小吃候选；POI类型：餐饮服务;中餐厅;中餐厅
food-02-dali-20260514-017,2026-05-14,大理,02-dali,高德地图 REST place/text,大理古城集贸市场,平等路5号,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;综合市场
food-02-dali-20260514-018,2026-05-14,大理,02-dali,高德地图 REST place/text,北门菜市场,护国路172号大理古城(西北角),市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;蔬菜市场
food-02-dali-20260514-019,2026-05-14,大理,02-dali,高德地图 REST place/text,古城人民路小菜市场,护国路172号大理古城,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;蔬菜市场
food-02-dali-20260514-020,2026-05-14,大理,02-dali,高德地图 REST place/text,北门野生菌批发市场,大理古城平等路16号,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;农副产品市场
food-02-dali-20260514-021,2026-05-14,大理,02-dali,高德地图 REST place/text,大理市蔬菜良种服务部,护国路172号大理古城(西北角),市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;购物相关场所;购物相关场所
food-02-dali-20260514-022,2026-05-14,大理,02-dali,高德地图 REST place/text,南门绿玉农贸市场,绿玉路111号,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;农副产品市场|购物服务;综合市场;蔬菜市场
food-02-dali-20260514-023,2026-05-14,大理,02-dali,高德地图 REST place/text,白族杜鲜生,OYO雅途客栈大理古城三月街店西南门南130米,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;农副产品市场
food-02-dali-20260514-024,2026-05-14,大理,02-dali,高德地图 REST place/text,瑜味生鲜,博爱路与双狮路交叉口南140米,市场,5-30,水果/早点/简餐,,pending,候选,长期慢住补给；POI类型：购物服务;综合市场;农副产品市场
food-03-shaxi-jianchuan-20260514-101,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪小黄牛牛肉米线餐馆,鳌峰路,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-102,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,喜宝赏饭,寺登街27号,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;快餐厅;快餐厅
food-03-shaxi-jianchuan-20260514-103,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,翕庐小苑,沙溪镇寺登村,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：住宿服务;旅馆招待所;旅馆招待所|餐饮服务;餐饮相关场所;餐饮相关
food-03-shaxi-jianchuan-20260514-104,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,初见沙溪私房菜,寺登街58号,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-105,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,菌与花云南特色主题餐厅清真,沙溪古镇寺登街61号,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;中餐厅;清真菜馆
food-03-shaxi-jianchuan-20260514-106,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,云之味餐厅(剑川清风雅苑民宿店),沙溪古镇幸福巷与084县道交叉口西260米,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-107,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,白味轩私房菜馆,北古宗巷沙溪古镇(东北角),古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-108,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,芗12西餐厅,北龙村公路寺登街117号,古镇餐馆,15-45,家常菜/面食,,pending,候选,古镇内吃饭候选；POI类型：餐饮服务;外国餐厅;西餐厅(综合风味)
food-03-shaxi-jianchuan-20260514-109,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,三孃食坊,沙溪古镇东南小学西北100米,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-110,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,王记凉粉,文照街51号(近西门老街),小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;快餐厅;快餐厅
food-03-shaxi-jianchuan-20260514-111,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,白族正宗火烤饼,幸福巷与084县道交叉口西260米,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-112,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,不晚小吃,寺登街123号,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-03-shaxi-jianchuan-20260514-113,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,大官米线(沙溪店),沙溪镇寺登村委会寺登村91号,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-114,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,椿 12 意式窑炉披萨店,沙溪古镇寺登街110号,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;快餐厅;快餐厅
food-03-shaxi-jianchuan-20260514-115,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,爱与故食,沙溪镇北古宗巷93号,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-116,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,杨记老字号双盖帽,东门街与古城东路交叉口西20米,小吃,10-30,饵丝/面食,,pending,候选,低价补充；POI类型：餐饮服务;中餐厅;中餐厅
food-03-shaxi-jianchuan-20260514-117,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪薄荷咖啡馆,沙溪古镇寺登街178号,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-118,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,叁一咖啡,沙溪古镇寺登街31号绝对艺术客栈后院露台,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-119,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,渡鸦咖啡烘焙,沙溪镇南古宗巷38号(靠近四方街),咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-03-shaxi-jianchuan-20260514-120,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,大桠DAYA Coffee Lab,沙溪古镇兰陵阁壹号院对面,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-121,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,溪语咖啡酒馆(沙溪古镇店),沙溪镇寺登街47号,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-122,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,现咖Bar tea&coffee,沙溪古镇寺登街138号现咖咖啡馆,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-123,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,沙溪古镇云麓咖啡店,,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-03-shaxi-jianchuan-20260514-124,2026-05-14,剑川,03-shaxi-jianchuan,高德地图 REST place/text,小满咖啡(北古宗巷店),寺登街59号,咖啡/休息,20-45,咖啡,,pending,候选,雨天休整候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-04-lijiang-20260514-201,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,云雪丽·白沙雪山观景餐厅,白沙镇白沙村委会木都村158号,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-04-lijiang-20260514-202,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,梁厨餐厅(白沙店),白沙古镇三元村委会二组42号,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-04-lijiang-20260514-203,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,绿也庭院花园餐厅(丽江白沙),新尚段与010乡道交叉口南400米,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-04-lijiang-20260514-204,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,田家庄菌王宴主题餐厅(白沙店),白沙古镇白沙段太平村1组16号北区1楼,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;火锅店
food-04-lijiang-20260514-205,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,阿察哥纳西观景餐厅,新尚段与010乡道交叉口南40米,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-04-lijiang-20260514-206,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,菌如故餐厅,白沙古镇三元村二组37号,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-04-lijiang-20260514-207,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,纪姐姐庭院餐厅,,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-04-lijiang-20260514-208,2026-05-14,丽江,04-lijiang,高德地图 REST place/text,滇西公主·云南私房菜·雪山观景餐厅,新尚段与010乡道交叉口西300米白沙白院正对面,古镇餐馆,15-45,简餐/纳西菜,,pending,候选,白沙慢住日常候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-001,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,肖蘸罐罐米线(泸沽湖店),永宁镇落水村委会大落水下村乌马河旁,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-002,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,土鸡米线,221省道与亚泸路交叉口东北20米,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-003,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,品味泸沽湖餐厅,永宁镇落水村委会大落水泸沽湖景区大落水村停车场旁2层,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-004,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,四海餐厅,吉莉诊所西南侧60米,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-005,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,帅味柴火鸡主题餐厅,宁蒗彝族自治县永宁镇洛水村委会大洛水,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-05-luguhu-20260515-006,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,戈瓦阿妈花园餐厅,泸沽湖大落水村5号路12号,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;特色/地方风味餐厅
food-05-luguhu-20260515-007,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,啊夏祖母餐厅,永宁乡落水村委会落水下村2号,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;特色/地方风味餐厅
food-05-luguhu-20260515-008,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,云川菜馆,吉莉诊所北侧240米,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;四川菜(川菜)
food-05-luguhu-20260515-009,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,福味坊川菜馆,湖滨路泸沽湖风景区,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;四川菜(川菜)
food-05-luguhu-20260515-010,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,川味园(泸沽湖国家级风景名胜区店),大洛水停车场对面,湖边餐馆,20-50,家常菜/简餐,,pending,候选,住宿附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-05-luguhu-20260515-011,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,汇金超市(泸沽湖风景区店),泸沽湖镇多舍村,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;便民商店/便利店;便民商店/便利店
food-05-luguhu-20260515-012,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,泸沽湖镇沁心超市,泸沽湖镇格姆西路132路,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;购物相关场所;购物相关场所
food-05-luguhu-20260515-013,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,泸沽湖零点超市,亚泸路与307省道交叉路口,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;超级市场;超市
food-05-luguhu-20260515-014,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,达祖舞场超市,泸沽湖风景名胜区,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;超级市场;超市
food-05-luguhu-20260515-015,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,公爵超市,木垮村6组8号,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;超级市场;超市
food-05-luguhu-20260515-016,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,波浪湾小卖部,舍垮村泸沽湖国家级风景名胜区内(北侧),补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;便民商店/便利店;便民商店/便利店
food-05-luguhu-20260515-017,2026-05-15,泸沽湖,05-luguhu,高德地图 REST place/text,齐齐超市,泸沽湖摩梭家园酒店西侧150米,补给,5-30,饮水/水果/零食,,pending,候选,湖区补给候选；POI类型：购物服务;便民商店/便利店;便民商店/便利店
food-06-shangrila-deqin-20260515-001,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,荣膳荷羊肉米线(香格里拉总店),康巴路2号(大修厂加油站对面),米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-06-shangrila-deqin-20260515-002,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,罐老大罐罐米线(香格里拉格咱路店),建塘镇格咱路79号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;快餐厅;快餐厅
food-06-shangrila-deqin-20260515-003,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,桥香园过桥米线(香格里拉独克宗古城店),古城池廊硕19号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-06-shangrila-deqin-20260515-004,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,肖蘸罐罐米线(香格里拉阳塘店),阳塘路52号(秦妈自助餐对面),米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-005,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,云阿蛮生烫牛肉米线(独克宗古城店),建塘镇仓房社区池廊硕011号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;餐饮相关场所;餐饮相关
food-06-shangrila-deqin-20260515-006,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,老仓醋米线(古城店),建塘镇独克宗古城达娃路20号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-007,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,舒一瓢泡椒米线,格咱路30号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-008,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,滇三剁烧肉米线(香格里拉店),建塘镇独克宗古城月光印巷3栋1楼08号,米线/简餐,15-35,米线/简餐,,pending,候选,低价正餐候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-009,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,四川饭店(香格里拉市独克宗古城店),独克宗古城金龙街东廊路17号(月光广场转经筒、藏吉王客栈对面),古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-010,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,法澜禧融合餐厅(独克宗古城店),池慈卡街与团结路交叉口西北100米,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;外国餐厅;外国餐厅
food-06-shangrila-deqin-20260515-011,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,独克宗古城青稞藏王盛宴,建塘镇达娃路63号,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-012,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,小苑家餐饮店(独克宗古城店),仓房街与步行街交叉口南260米,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;中餐厅;中餐厅
food-06-shangrila-deqin-20260515-013,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,喜茶(香格里拉市独克宗古城店),月光印巷1栋1层S-1-108A号,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;冷饮店;冷饮店
food-06-shangrila-deqin-20260515-014,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香格里拉贰舍咖啡(独克宗古城店),独克宗古城纳举廊9号,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;咖啡厅;咖啡厅
food-06-shangrila-deqin-20260515-015,2026-05-15,香格里拉/德钦,06-shangrila-deqin,高德地图 REST place/text,香巴拉·牦牛鲜奶茶(独克宗古城四方街店),独克宗古城四方街4-1,古城餐馆,20-55,牦牛肉/藏餐/简餐,,pending,候选,古城附近吃饭候选；POI类型：餐饮服务;冷饮店;冷饮店
